id,timestamp,latitude,longitude,pm25,no2,so2,o3,co
228,2024-08-01 19:00,40.725413,-74.052293,14.3,,,,
2459,2024-08-01 19:00,40.64144,-74.208365,16.3,44.2,0.0,,0.6
4648,2024-08-01 19:00,40.85355,-73.96618,17.5,30.0,,,0.5
6856,2024-08-01 19:00,40.770908,-74.036218,13.6,,,,
9063,2024-08-01 19:00,40.816,-73.902,16.6,22.1,,0.048,
11241,2024-08-01 19:00,40.81551,-73.88553,18.3,,,,
13449,2024-08-01 19:00,40.64182,-74.01871,14.4,,,,
15657,2024-08-01 19:00,40.69454,-73.92769,16.8,,,,
17864,2024-08-01 19:00,40.73614,-73.82153,22.3,17.1,-0.1,0.053,0.38
20040,2024-08-01 19:00,40.739264,-73.817694,14.8,18.8,,,0.387
229,2024-08-01 20:00,40.725413,-74.052293,18.1,,,,
2460,2024-08-01 20:00,40.64144,-74.208365,14.0,37.4,0.1,,0.6
4649,2024-08-01 20:00,40.85355,-73.96618,14.5,23.2,,,0.5
6857,2024-08-01 20:00,40.770908,-74.036218,13.6,,,,
9064,2024-08-01 20:00,40.816,-73.902,17.1,32.6,,0.035,
11242,2024-08-01 20:00,40.81551,-73.88553,18.5,,,,
13450,2024-08-01 20:00,40.64182,-74.01871,15.9,,,,
15658,2024-08-01 20:00,40.69454,-73.92769,17.0,,,,
17865,2024-08-01 20:00,40.73614,-73.82153,21.4,20.7,-0.2,0.049,0.443
20041,2024-08-01 20:00,40.739264,-73.817694,14.2,20.5,,,0.49
230,2024-08-01 21:00,40.725413,-74.052293,19.8,,,,
2461,2024-08-01 21:00,40.64144,-74.208365,18.9,25.9,0.0,,0.5
4650,2024-08-01 21:00,40.85355,-73.96618,15.6,30.4,,,0.6
6858,2024-08-01 21:00,40.770908,-74.036218,17.1,,,,
9065,2024-08-01 21:00,40.816,-73.902,18.0,41.0,,0.023,
11243,2024-08-01 21:00,40.81551,-73.88553,18.9,,,,
13451,2024-08-01 21:00,40.64182,-74.01871,16.4,,,,
15659,2024-08-01 21:00,40.69454,-73.92769,18.2,,,,
17866,2024-08-01 21:00,40.73614,-73.82153,22.9,13.9,-0.1,0.051,0.479
20042,2024-08-01 21:00,40.739264,-73.817694,15.3,16.6,,,0.471
231,2024-08-01 22:00,40.725413,-74.052293,19.4,,,,
2462,2024-08-01 22:00,40.64144,-74.208365,14.8,31.1,0.3,,0.5
